Listing Title,Category,City,County,State,Country,Short Description,Full Description,Address,Phone,Email,Website,Price,Schedule / Hours,Senior Discount,Dementia-Friendly?,Caregiver-Friendly?,Wheelchair Accessible?,Transportation Available?,Tags,Slug,Source URL,Last Updated
TheBus Senior Transportation Honolulu,Transportation Help,Honolulu,Honolulu County,Hawaii,USA,Oahu public bus transportation resource helping older adults travel around Honolulu and island communities.,"TheBus provides public transportation across Oahu and can help older adults access appointments, shopping, activities, museums, beaches, and community destinations. Riders should confirm current routes, senior fare or pass rules, accessibility, schedules, and service alerts before traveling.","811 Middle Street, Honolulu, HI 96819",808-848-5555,Not listed,https://www.thebus.org/,"Check website for current fares, passes, and senior rules.",Schedules vary by route; check current service before traveling.,Not listed,Not listed,Not listed,Yes,Yes,"Honolulu, TheBus, senior transportation, Oahu transit, bus, accessible transportation",thebus-senior-transportation-honolulu,https://www.thebus.org/,2026-05-10
Hawaii County Elderly Activities Division,Senior-Friendly Event,Hilo,Hawaii County,Hawaii,USA,"Hawaii Island program supporting older adults with activities, recreation, social connection, classes, and senior-friendly county services.","Hawaii County Elderly Activities Division supports older adults through recreation, senior activities, social connection, classes, and county programs. Seniors should confirm current schedules, registration, fees, locations, transportation, and accessibility before attending.","Hilo, HI",808-961-8706,Not listed,https://www.parks.hawaiicounty.gov/divisions/elderly-activities,Fees vary by activity; confirm before registering.,Check website for current elderly activities and program schedules.,Not listed,Not listed,Not listed,Not listed,Not listed,"Hawaii County, elderly activities, senior programs, Hilo, older adults, recreation",hawaii-county-elderly-activities-division,https://www.parks.hawaiicounty.gov/divisions/elderly-activities,2026-05-10
Hawaii County Coordinated Services for the Elderly,Caregiver Support,Hilo,Hawaii County,Hawaii,USA,"Hawaii County program offering service information, referrals, Kupuna Card discounts, transportation, chore help, friendly visiting, and support for adults 60+.","Hawaii County Coordinated Services for the Elderly connects adults age 60 and older with information, referrals, Kupuna Card discount support, in-home chore assistance, transportation, friendly visiting, counseling, housing assistance, outreach, and related support. Seniors should confirm eligibility and current services before applying.","Hilo, HI",808-961-8710,Not listed,https://www.parks.hawaiicounty.gov/divisions/elderly-activities/coordinated-services-for-the-elderly-cse,Not listed,"Call for current services, eligibility, and referrals.",Yes,Not listed,Yes,Not listed,Yes,"Hawaii County, coordinated services, Kupuna Card, transportation, caregiver support, older adults",hawaii-county-coordinated-services-for-elderly,https://www.parks.hawaiicounty.gov/divisions/elderly-activities/coordinated-services-for-the-elderly-cse,2026-05-10
Hawaii County Mass Transit Hele-On,Transportation Help,Hilo,Hawaii County,Hawaii,USA,"Hawaii Island public bus transportation resource helping older adults reach community destinations, shopping, medical appointments, and activities.","Hele-On provides public bus transportation across Hawaii Island and may help older adults access shopping, medical appointments, community services, museums, and activities. Riders should confirm current routes, fares, senior or disability options, accessibility, schedules, and service alerts before traveling.","2299 Ho‘olaulima Road, Hilo, HI 96720",808-961-8744,Not listed,https://www.heleonbus.hawaiicounty.gov/,Check website for current fares and pass rules.,Schedules vary by route; check current service before traveling.,Not listed,Not listed,Not listed,Yes,Yes,"Hawaii Island, Hele-On, senior transportation, public bus, Hilo, accessible transit",hawaii-county-mass-transit-hele-on,https://www.heleonbus.hawaiicounty.gov/,2026-05-10
Maui Bus Senior Transportation,Transportation Help,Wailuku,Maui County,Hawaii,USA,"Maui public bus transportation resource helping older adults travel to community destinations, shopping, activities, and services.","Maui Bus provides public transit across Maui communities and can help older adults travel to shopping, activities, appointments, beaches, and community destinations. Riders should confirm current routes, fares, senior or disability options, accessibility, schedules, and service alerts before traveling.","Maui County, HI",808-871-4838,Not listed,https://www.mauicounty.gov/609/Maui-Bus-Public-Transit-System,"Check website for current fares, passes, and senior rules.",Schedules vary by route; check current service before traveling.,Not listed,Not listed,Not listed,Yes,Yes,"Maui Bus, senior transportation, public transit, Wailuku, older adults, accessible transit",maui-bus-senior-transportation,https://www.mauicounty.gov/609/Maui-Bus-Public-Transit-System,2026-05-10
Maui Bus ADA Paratransit,Transportation Help,Wailuku,Maui County,Hawaii,USA,Maui ADA paratransit resource supporting eligible riders who cannot use regular fixed-route bus service.,"Maui Bus ADA Paratransit supports eligible riders who cannot use the regular fixed-route bus system because of disability. Older adults and caregivers should confirm eligibility, application steps, reservations, fares, service area, accessibility, and current scheduling rules before using.","Maui County, HI",808-871-4838,Not listed,https://www.mauicounty.gov/609/Maui-Bus-Public-Transit-System,Check website for current fare and eligibility information.,Eligibility and reservation rules apply; confirm before scheduling.,Not listed,Not listed,Yes,Yes,Yes,"Maui, ADA paratransit, senior transportation, accessible rides, Maui Bus",maui-bus-ada-paratransit,https://www.mauicounty.gov/609/Maui-Bus-Public-Transit-System,2026-05-10
Kauai Bus Senior Transportation,Transportation Help,Lihue,Kauai County,Hawaii,USA,"Kauai public bus resource helping older adults access shopping, medical appointments, community services, beaches, and island activities.","The Kauai Bus provides public transportation around Kauai and can help older adults reach shopping, appointments, community services, beaches, and activities. Riders should confirm current routes, fares, senior pass rules, accessibility, schedules, and service alerts before traveling.","Kauai County, HI",808-246-8110,Not listed,https://www.kauai.gov/Government/Departments-Agencies/Transportation-Agency,Check website for current fares and pass information.,Schedules vary by route; check current service before traveling.,Not listed,Not listed,Not listed,Yes,Yes,"Kauai Bus, senior transportation, Lihue, public transit, accessible transportation, older adults",kauai-bus-senior-transportation,https://www.kauai.gov/Government/Departments-Agencies/Transportation-Agency,2026-05-10
Kauai Bus Paratransit,Transportation Help,Lihue,Kauai County,Hawaii,USA,Kauai paratransit resource helping eligible riders with disabilities access accessible transportation around the island.,"Kauai Bus Paratransit supports eligible riders who need accessible transportation due to disability. Older adults and caregivers should confirm eligibility, application steps, reservations, fares, service area, accessibility, and current scheduling rules before using.","Kauai County, HI",808-246-8110,Not listed,https://www.kauai.gov/Government/Departments-Agencies/Transportation-Agency,Check website for current fare and eligibility details.,Eligibility and reservation rules apply; confirm before scheduling.,Not listed,Not listed,Yes,Yes,Yes,"Kauai, paratransit, senior transportation, accessible rides, disability transportation",kauai-bus-paratransit,https://www.kauai.gov/Government/Departments-Agencies/Transportation-Agency,2026-05-10
Bishop Museum,Senior Discount,Honolulu,Honolulu County,Hawaii,USA,"Honolulu museum offering Hawaiian culture, natural history exhibits, accessibility information, and senior admission pricing.","Bishop Museum in Honolulu offers Hawaiian culture, natural history, science, collections, exhibits, and visitor experiences. Older adults should confirm current senior admission pricing, accessibility, parking, hours, special exhibits, and ticket policies before visiting.","1525 Bernice Street, Honolulu, HI 96817",808-847-3511,Not listed,https://www.bishopmuseum.org/visit/tickets/,Senior 65+ admission listed; confirm current pricing before visiting.,"Check website for current hours, tickets, exhibits, and accessibility.",Yes,Not listed,Not listed,Yes,Not listed,"Honolulu, Bishop Museum, senior discount, Hawaiian culture, natural history, museum",bishop-museum-senior-discount-honolulu,https://www.bishopmuseum.org/visit/tickets/,2026-05-10
Honolulu Museum of Art,Senior Discount,Honolulu,Honolulu County,Hawaii,USA,"Honolulu art museum offering exhibitions, collections, programs, accessibility information, and senior-friendly cultural activities.","Honolulu Museum of Art offers art exhibitions, collections, programs, and cultural experiences in Honolulu. Older adults should confirm current admission, discounts, accessibility, parking, hours, exhibitions, and ticket policies before visiting.","900 S Beretania Street, Honolulu, HI 96814",808-532-8700,Not listed,https://honolulumuseum.org/visit/,Confirm current admission and any discount options before visiting.,"Check website for current hours, tickets, exhibitions, and accessibility.",Yes,Not listed,Not listed,Yes,Not listed,"Honolulu Museum of Art, senior activity, museum, culture, art, Honolulu",honolulu-museum-of-art-senior-friendly,https://honolulumuseum.org/visit/,2026-05-10
Iolani Palace,Senior Discount,Honolulu,Honolulu County,Hawaii,USA,"Honolulu historic palace museum offering tours, Hawaiian history, accessibility information, and senior-friendly cultural experiences.","Iolani Palace offers tours and cultural history experiences connected to the Hawaiian Kingdom. Older adults should confirm current tour pricing, accessibility, parking, hours, mobility requirements, and reservation policies before visiting.","364 S King Street, Honolulu, HI 96813",808-522-0822,Not listed,https://www.iolanipalace.org/visit/tours-admission/,Confirm current admission and tour pricing before visiting.,"Check website for current tours, hours, accessibility, and reservations.",Yes,Not listed,Not listed,Not listed,Not listed,"Honolulu, Iolani Palace, senior activity, museum, Hawaiian history, cultural tour",iolani-palace-senior-friendly-honolulu,https://www.iolanipalace.org/visit/tours-admission/,2026-05-10
Pearl Harbor National Memorial,Senior Travel & Tours,Honolulu,Honolulu County,Hawaii,USA,"Honolulu historic site offering USS Arizona Memorial access, visitor center exhibits, accessible facilities, and senior-friendly history travel.","Pearl Harbor National Memorial offers visitor center exhibits and access to USS Arizona Memorial programs. Older adults and travel groups should confirm current reservation rules, accessibility, parking, shuttle or tour details, security rules, and operating hours before visiting.","1 Arizona Memorial Place, Honolulu, HI 96818",808-422-3399,Not listed,https://www.nps.gov/perl/,Check NPS website for current fees and reservation details.,"Check NPS website for current hours, tickets, and program status.",Yes,Not listed,Not listed,Yes,Yes,"Pearl Harbor, senior travel, USS Arizona, Honolulu, history, accessible attraction",pearl-harbor-national-memorial-senior-travel,https://www.nps.gov/perl/,2026-05-10
Waikiki Aquarium,Senior Discount,Honolulu,Honolulu County,Hawaii,USA,"Honolulu aquarium offering marine exhibits, accessible visitor information, educational programs, and senior-friendly activities near Waikiki.","Waikiki Aquarium offers marine life exhibits and educational visitor experiences near Waikiki. Older adults should confirm current admission, senior or kamaaina discounts, accessibility, parking, hours, exhibits, and ticket policies before visiting.","2777 Kalakaua Avenue, Honolulu, HI 96815",808-923-9741,Not listed,https://www.waikikiaquarium.org/visit/,Confirm current admission and discount options before visiting.,"Check website for current hours, exhibits, accessibility, and visitor information.",Yes,Not listed,Not listed,Yes,Not listed,"Waikiki Aquarium, Honolulu, senior activity, marine life, accessible attraction, Waikiki",waikiki-aquarium-senior-friendly-honolulu,https://www.waikikiaquarium.org/visit/,2026-05-10
Maui Ocean Center,Senior Discount,Wailuku,Maui County,Hawaii,USA,"Maui aquarium offering marine exhibits, ocean education, accessibility information, and senior admission pricing for visitors age 65+.","Maui Ocean Center offers marine exhibits, educational programs, and ocean-focused visitor experiences. Older adults should confirm current senior ticket pricing, accessibility, parking, hours, dining, exhibits, and ticket policies before visiting.","192 Maalaea Road, Wailuku, HI 96793",808-270-7000,Not listed,https://mauioceancenter.com/maui-aquarium-tickets/,Senior kūpuna admission listed; confirm current pricing before visiting.,"Check website for current hours, tickets, exhibits, and accessibility.",Yes,Not listed,Not listed,Yes,Not listed,"Maui Ocean Center, senior discount, aquarium, Maui, kūpuna, marine life",maui-ocean-center-senior-discount,https://mauioceancenter.com/maui-aquarium-tickets/,2026-05-10
Hawaii Volcanoes National Park,Senior Travel & Tours,Volcano,Hawaii County,Hawaii,USA,"Hawaii Island national park offering scenic drives, visitor centers, volcano overlooks, accessible viewpoints, and senior-friendly nature travel.","Hawaii Volcanoes National Park offers scenic drives, visitor centers, volcano viewing areas, cultural sites, ranger information, and accessible viewpoint opportunities. Older adults should confirm entrance fees, senior pass rules, road status, air quality, accessibility, weather, and closures before visiting.","Hawaii Volcanoes National Park, HI",808-985-6011,Not listed,https://www.nps.gov/havo/,Check NPS website for entrance fees and senior pass details.,Conditions and closures may change; check NPS updates before visiting.,Yes,Not listed,Not listed,Yes,Yes,"Hawaii Volcanoes, senior travel, national park, scenic drive, Hawaii Island, accessible viewpoints",hawaii-volcanoes-national-park-senior-travel,https://www.nps.gov/havo/,2026-05-10
Haleakala National Park Senior Travel,Senior Travel & Tours,Kula,Maui County,Hawaii,USA,"Maui national park offering scenic drives, summit views, visitor centers, nature stops, and senior-friendly travel planning.","Haleakala National Park offers scenic drives, summit views, visitor centers, nature stops, cultural landscapes, and accessible viewpoints. Older adults should confirm reservations, entrance fees, senior pass rules, road conditions, weather, accessibility, parking, and health considerations for high elevation before visiting.","Haleakala National Park, HI",808-572-4400,Not listed,https://www.nps.gov/hale/,"Check NPS website for entrance fees, reservations, and senior pass details.",Conditions vary by elevation and weather; check NPS updates before visiting.,Yes,Not listed,Not listed,Yes,Yes,"Haleakala, senior travel, Maui, national park, scenic drive, summit, accessible viewpoints",haleakala-national-park-senior-travel,https://www.nps.gov/hale/,2026-05-10
Go Hawaii Senior Travel Ideas,Senior Travel & Tours,Statewide,Statewide,Hawaii,USA,"Statewide official Hawaii travel resource highlighting islands, culture, attractions, festivals, dining, accessible trip planning, and senior-friendly travel ideas.","Go Hawaii provides official travel information for the Hawaiian Islands, including culture, attractions, festivals, dining, island guides, and trip planning ideas. Older adults and travel groups should confirm accessibility, transportation, lodging, weather, attraction hours, and mobility needs before traveling.",Hawaii,Not listed,Not listed,https://www.gohawaii.com/,"Prices vary by island, attraction, transportation, dining, and lodging.",Check official travel site for current island information and travel planning resources.,Not listed,Not listed,Not listed,Not listed,Yes,"Hawaii travel, senior travel, Oahu, Maui, Kauai, Hawaii Island, accessible travel, tourism",go-hawaii-senior-travel-ideas,https://www.gohawaii.com/,2026-05-10
Oahu Senior-Friendly Travel Ideas,Senior Travel & Tours,Honolulu,Honolulu County,Hawaii,USA,"Oahu travel idea featuring Honolulu, Waikiki, Pearl Harbor, museums, beaches, gardens, scenic drives, and senior-friendly day trips.","Oahu offers senior-friendly travel possibilities including Honolulu, Waikiki, Pearl Harbor, museums, gardens, scenic drives, beaches, cultural sites, and accessible attractions. Travelers should confirm accessibility, parking, transit options, walking distances, hours, and reservation rules before visiting.","Oahu, HI",Not listed,Not listed,https://www.gohawaii.com/islands/oahu,"Prices vary by attraction, dining, lodging, transportation, and tour option.",Check official visitor site for current Oahu travel details.,Not listed,Not listed,Not listed,Yes,Yes,"Oahu, Honolulu, Waikiki, senior travel, Pearl Harbor, museums, day trips",oahu-senior-friendly-travel-ideas,https://www.gohawaii.com/islands/oahu,2026-05-10
Maui Senior-Friendly Travel Ideas,Senior Travel & Tours,Wailuku,Maui County,Hawaii,USA,"Maui travel idea featuring scenic drives, beaches, Haleakala, cultural stops, ocean center, gardens, and senior-friendly activities.","Maui offers senior-friendly travel ideas including scenic drives, beaches, Haleakala, cultural attractions, gardens, Maui Ocean Center, dining, and relaxing island activities. Travelers should confirm accessibility, parking, weather, road conditions, tour requirements, and walking distances before visiting.","Maui, HI",Not listed,Not listed,https://www.gohawaii.com/islands/maui,"Prices vary by attraction, dining, lodging, transportation, and tour option.",Check official visitor site for current Maui travel details.,Not listed,Not listed,Not listed,Not listed,Yes,"Maui, senior travel, Haleakala, scenic drives, ocean center, beaches, Hawaii travel",maui-senior-friendly-travel-ideas,https://www.gohawaii.com/islands/maui,2026-05-10
Kauai Senior-Friendly Travel Ideas,Senior Travel & Tours,Lihue,Kauai County,Hawaii,USA,"Kauai travel idea featuring gardens, scenic overlooks, beaches, cultural attractions, small towns, and senior-friendly nature experiences.","Kauai offers senior-friendly travel ideas including gardens, scenic overlooks, beaches, small towns, cultural attractions, boat tours, and nature experiences. Travelers should confirm accessibility, parking, walking distances, weather, tour requirements, and seasonal conditions before visiting.","Kauai, HI",Not listed,Not listed,https://www.gohawaii.com/islands/kauai,"Prices vary by attraction, dining, lodging, transportation, and tour option.",Check official visitor site for current Kauai travel details.,Not listed,Not listed,Not listed,Not listed,Yes,"Kauai, senior travel, gardens, beaches, scenic overlooks, Hawaii travel",kauai-senior-friendly-travel-ideas,https://www.gohawaii.com/islands/kauai,2026-05-10
Hawaii Island Senior-Friendly Travel Ideas,Senior Travel & Tours,Hilo,Hawaii County,Hawaii,USA,"Hawaii Island travel idea featuring volcanoes, scenic drives, cultural sites, gardens, beaches, museums, and senior-friendly visitor planning.","Hawaii Island offers senior-friendly travel ideas including Hawaii Volcanoes National Park, scenic drives, gardens, cultural sites, museums, beaches, and relaxed visitor experiences. Travelers should confirm accessibility, driving distances, weather, volcanic conditions, road status, and attraction hours before visiting.","Hawaii Island, HI",Not listed,Not listed,https://www.gohawaii.com/islands/hawaii-big-island,"Prices vary by attraction, lodging, dining, transportation, and tour option.",Check official visitor site for current Hawaii Island travel details.,Not listed,Not listed,Not listed,Not listed,Yes,"Hawaii Island, Big Island, senior travel, volcanoes, scenic drives, Hilo, Kona",hawaii-island-senior-friendly-travel-ideas,https://www.gohawaii.com/islands/hawaii-big-island,2026-05-10
Kualoa Ranch Senior-Friendly Tours,Senior Travel & Tours,Kaneohe,Honolulu County,Hawaii,USA,"Oahu scenic ranch attraction offering guided tours, movie site tours, ocean and mountain views, and senior-friendly group travel planning.","Kualoa Ranch offers guided tours and scenic experiences on Oahu, including movie site tours, cultural and nature-related activities, and mountain and ocean views. Older adults should confirm current tour options, mobility requirements, accessibility, vehicle boarding, weather policies, and ticket details before booking.","49-560 Kamehameha Highway, Kaneohe, HI 96744",808-237-7321,Not listed,https://www.kualoa.com/,Prices vary by tour; confirm current fares before booking.,Tour schedules vary; reservations recommended.,Not listed,Not listed,Not listed,Not listed,Yes,"Oahu, Kualoa Ranch, senior travel, guided tours, scenic tour, movie site tour",kualoa-ranch-senior-friendly-tours,https://www.kualoa.com/,2026-05-10
Waimea Valley Senior-Friendly Visit,Senior Travel & Tours,Haleiwa,Honolulu County,Hawaii,USA,"Oahu cultural and botanical attraction offering gardens, paved walking areas, Hawaiian culture, waterfall viewing, and senior-friendly visitor planning.","Waimea Valley offers botanical gardens, cultural learning, paved walking areas, waterfall viewing, and North Shore scenery. Older adults should confirm current admission, shuttle availability, walking distance, accessibility, weather, parking, and trail conditions before visiting.","59-864 Kamehameha Highway, Haleiwa, HI 96712",808-638-7766,Not listed,https://www.waimeavalley.net/,Confirm current admission and discount options before visiting.,"Check website for current hours, shuttle details, accessibility, and weather updates.",Yes,Not listed,Not listed,Yes,Yes,"Oahu, Waimea Valley, senior travel, botanical garden, waterfall, North Shore",waimea-valley-senior-friendly-visit,https://www.waimeavalley.net/,2026-05-10
Polynesian Cultural Center Senior Travel,Senior Travel & Tours,Laie,Honolulu County,Hawaii,USA,"Oahu cultural attraction offering island villages, shows, dining packages, accessibility information, and group travel experiences.","Polynesian Cultural Center offers cultural villages, shows, dining packages, and visitor experiences on Oahu’s North Shore. Older adults and travel groups should confirm current ticket options, accessibility, walking distances, seating, dining details, transportation, and schedule before booking.","55-370 Kamehameha Highway, Laie, HI 96762",800-367-7060,Not listed,https://www.polynesia.com/,Prices vary by package; confirm current fares before booking.,"Check website for current showtimes, packages, and visitor details.",Yes,Not listed,Not listed,Yes,Yes,"Oahu, Polynesian Cultural Center, senior travel, cultural attraction, shows, group travel",polynesian-cultural-center-senior-travel,https://www.polynesia.com/,2026-05-10
Kamana Senior Center,Senior Center,Hilo,Hawaii County,Hawaii,USA,"Hilo senior center and Hawaii County elderly activities hub offering recreation, socialization, education, and health-related activities for adults age 55+.","Kamana Senior Center is connected with Hawaii County Elderly Activities and supports older adults through recreation, socialization, educational programs, health-related activities, and senior-friendly services. Seniors should confirm current schedules, registration, fees, transportation options, and accessibility before visiting.","127 Kamana Street, Hilo, HI 96720",808-961-8708,elderly@hawaiicounty.gov,https://www.hawaiicounty.gov/departments/parks-and-recreation/elderly-activities,Fees vary by activity; confirm before registering.,Check website or call for current elderly activities and center schedules.,Not listed,Not listed,Not listed,Not listed,Not listed,"Hilo, Kamana Senior Center, Hawaii County, elderly activities, age 55 plus, recreation",kamana-senior-center-hilo-hawaii,https://www.hawaiicounty.gov/departments/parks-and-recreation/elderly-activities,2026-05-10
Hawaii County Elderly Recreation Services,Senior-Friendly Event,Hilo,Hawaii County,Hawaii,USA,Hawaii County recreation program offering socialization and recreation through senior centers across Hawaii Island for adults age 55+.,"Hawaii County Elderly Recreation Services provides socialization and recreation at senior centers across Hawaii Island. Activities may include sports, leisure, education, health-related activities, and community connection. Seniors should confirm current locations, schedules, registration, transportation, and eligibility before attending.","Hawaii County, HI",808-961-8708,elderly@hawaiicounty.gov,https://www.parks.hawaiicounty.gov/divisions/elderly-activities/elderly-recreation-services-ers,Fees vary by activity; confirm before registering.,Check current senior center schedules and ERS program details.,Not listed,Not listed,Not listed,Not listed,Not listed,"Hawaii County, elderly recreation, senior centers, age 55 plus, Hawaii Island, activities",hawaii-county-elderly-recreation-services,https://www.parks.hawaiicounty.gov/divisions/elderly-activities/elderly-recreation-services-ers,2026-05-10
Kailua-Kona Senior Programs,Senior-Friendly Event,Kailua-Kona,Hawaii County,Hawaii,USA,"West Hawaii senior programs connected with Hawaii County elderly activities, recreation, socialization, education, and community support.","Kailua-Kona senior programs through Hawaii County elderly activities help older adults find recreation, social connection, education, and support opportunities in West Hawaii. Seniors should confirm current program locations, schedules, eligibility, registration, and transportation options before attending.","Kailua-Kona, HI",808-323-4340,Not listed,https://www.parks.hawaiicounty.gov/divisions/elderly-activities,Fees vary by activity; confirm before registering.,Check current Hawaii County elderly activities schedule before attending.,Not listed,Not listed,Not listed,Not listed,Not listed,"Kailua-Kona, West Hawaii, senior programs, elderly activities, recreation, older adults",kailua-kona-senior-programs-hawaii,https://www.parks.hawaiicounty.gov/divisions/elderly-activities,2026-05-10
Puna Senior Programs,Senior-Friendly Event,Pahoa,Hawaii County,Hawaii,USA,"Puna-area senior programs connected with Hawaii County elderly activities, recreation, social connection, and community engagement for adults 55+.","Puna senior programs through Hawaii County elderly activities help older adults access recreation, socialization, educational activities, and community connection. Seniors should confirm current locations, schedules, registration, fees, transportation options, and accessibility before attending.","Puna District, HI",808-961-8708,Not listed,https://www.parks.hawaiicounty.gov/divisions/elderly-activities/elderly-recreation-services-ers,Fees vary by activity; confirm before registering.,Check current ERS schedule and location details before attending.,Not listed,Not listed,Not listed,Not listed,Not listed,"Puna, Pahoa, Hawaii County, elderly recreation, senior activities, age 55 plus",puna-senior-programs-hawaii,https://www.parks.hawaiicounty.gov/divisions/elderly-activities/elderly-recreation-services-ers,2026-05-10
Kauai County Senior Programs,Senior-Friendly Event,Lihue,Kauai County,Hawaii,USA,"Kauai county senior program offering safe, welcoming spaces for older adults to gather, socialize, learn, and participate in recreation.","Kauai County Senior Programs provide welcoming, accessible opportunities for older adults to gather, pursue interests, receive health and educational information, and participate in social and recreational activities. Seniors should confirm current neighborhood center schedules, registration, fees, and accessibility before attending.","Kauai County, HI",808-241-4460,Not listed,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,Fees vary by activity; confirm before registering.,Call the nearest neighborhood center for current senior program details.,Not listed,Not listed,Not listed,Not listed,Not listed,"Kauai, senior programs, recreation, neighborhood centers, older adults, social activities",kauai-county-senior-programs,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,2026-05-10
Lihue Neighborhood Center Senior Programs,Senior-Friendly Event,Lihue,Kauai County,Hawaii,USA,"Lihue senior-friendly neighborhood center programs offering social activities, recreation, educational information, and community gathering space.","Lihue Neighborhood Center senior programs help older adults gather, socialize, pursue mutual interests, receive health and educational information, and participate in recreational activities. Seniors should confirm current activity schedule, registration, fees, meal options, and accessibility before attending.","Lihue, HI",808-241-4460,Not listed,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,Fees vary by activity; confirm before registering.,Call the neighborhood center for current senior program details.,Not listed,Not listed,Not listed,Not listed,Not listed,"Lihue, Kauai, senior programs, neighborhood center, recreation, older adults",lihue-neighborhood-center-senior-programs,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,2026-05-10
Kapaa Neighborhood Center Senior Programs,Senior-Friendly Event,Kapaa,Kauai County,Hawaii,USA,"Kapaa senior-friendly neighborhood center programs offering recreation, social connection, health information, and community activities for older adults.","Kapaa Neighborhood Center senior programs help older adults participate in social, educational, and recreational activities in a welcoming community setting. Seniors should confirm current schedules, registration, fees, accessibility, and activity details before attending.","Kapaa, HI",808-241-4460,Not listed,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,Fees vary by activity; confirm before registering.,Call the neighborhood center for current senior program details.,Not listed,Not listed,Not listed,Not listed,Not listed,"Kapaa, Kauai, senior programs, neighborhood center, social activities, recreation",kapaa-neighborhood-center-senior-programs,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,2026-05-10
Koloa Neighborhood Center Senior Programs,Senior-Friendly Event,Koloa,Kauai County,Hawaii,USA,"Koloa senior-friendly neighborhood center programs offering social, recreational, and educational activities for older adults on Kauai.","Koloa Neighborhood Center senior programs help older adults connect through recreational activities, social opportunities, and educational information. Seniors should confirm current activity schedule, registration, fees, transportation options, and accessibility before attending.","Koloa, HI",808-241-4460,Not listed,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,Fees vary by activity; confirm before registering.,Call the neighborhood center for current senior program details.,Not listed,Not listed,Not listed,Not listed,Not listed,"Koloa, Kauai, senior programs, neighborhood center, recreation, older adults",koloa-neighborhood-center-senior-programs,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,2026-05-10
Waimea Neighborhood Center Senior Programs,Senior-Friendly Event,Waimea,Kauai County,Hawaii,USA,"Waimea senior-friendly neighborhood center programs offering recreation, social activities, community connection, and educational information.","Waimea Neighborhood Center senior programs support older adults through social, recreational, and educational opportunities in a community setting. Seniors should confirm current program schedules, fees, registration, accessibility, and transportation options before attending.","Waimea, HI",808-241-4460,Not listed,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,Fees vary by activity; confirm before registering.,Call the neighborhood center for current senior program details.,Not listed,Not listed,Not listed,Not listed,Not listed,"Waimea, Kauai, senior programs, neighborhood center, recreation, older adults",waimea-neighborhood-center-senior-programs,https://www.kauai.gov/Government/Departments-Agencies/Parks/Programs/Senior-Programs,2026-05-10
Kaumakani Senior Center,Senior Center,Kaumakani,Kauai County,Hawaii,USA,"Kauai senior center offering multipurpose senior programs, congregate meals, presentations, and community services for older adults.","Kaumakani Senior Center offers multipurpose senior programs and congregate meals and may serve as a focal point for service delivery and presentations by other agencies. Seniors should confirm current meal schedule, registration, fees, transportation, accessibility, and program availability before visiting.","Kaumakani, HI",Not listed,Not listed,https://search.auw211.org/search/a20e67f3-3dbc-51a4-8df1-2fcacdb2fbaa,Meal or activity costs may vary; confirm before attending.,Check current schedule and service availability before visiting.,Not listed,Not listed,Not listed,Not listed,Not listed,"Kaumakani, Kauai, senior center, congregate meals, multipurpose senior programs",kaumakani-senior-center-kauai-hawaii,https://search.auw211.org/search/a20e67f3-3dbc-51a4-8df1-2fcacdb2fbaa,2026-05-10
Salvation Army Hawaii Senior Services,Caregiver Support,Statewide,Statewide,Hawaii,USA,"Hawaii senior services program offering social gatherings, recreational outings, health screenings, educational workshops, and supportive senior programs.","Salvation Army Hawaii Senior Services offers programs and activities designed to support older adults through social gatherings, recreational outings, health screenings, educational workshops, and community support. Seniors should confirm current locations, eligibility, schedules, fees, and service availability before attending.",Hawaii,Not listed,Not listed,https://www.salvationarmyusa.org/usa-western-territory/hawaiian-and-pacific-islands/senior-services/,Not listed,Check website or call local Salvation Army office for current program details.,Not listed,Not listed,Yes,Not listed,Not listed,"Hawaii, Salvation Army, senior services, social gatherings, health screenings, older adults",salvation-army-hawaii-senior-services,https://www.salvationarmyusa.org/usa-western-territory/hawaiian-and-pacific-islands/senior-services/,2026-05-10
